Time, Nose_Z
12.30231,1.513537
12.33715,1.515861
12.37287,1.517984
12.40598,1.520098
12.44184,1.52158
12.47759,1.522744
12.50935,1.523998
12.54068,1.525015
12.5807,1.52636
12.61509,1.527816
12.65102,1.528679
12.68062,1.528973
12.71468,1.52893
12.75219,1.527776
12.78899,1.526162
12.82606,1.524781
12.85867,1.523053
12.89363,1.521843
12.92839,1.521081
12.96105,1.520029
12.99606,1.518725
13.03269,1.517032
13.06991,1.514569
13.10131,1.511808
13.13727,1.508219
13.17013,1.504996
13.20632,1.501735
13.23573,1.497638
13.27192,1.494137
13.30562,1.490112
13.33922,1.486158
13.37295,1.483768
13.40671,1.481537
13.43851,1.480019
13.46758,1.47862
13.50691,1.476867
13.53896,1.475691
13.57178,1.474321
13.60476,1.474068
13.64073,1.473961
13.67714,1.474156
13.70732,1.474002
13.74188,1.473116
13.78078,1.472721
13.81378,1.473116
13.84774,1.474087
13.88325,1.475679
13.91567,1.477092
13.94834,1.477793
13.98483,1.478442
14.02019,1.478573
14.05542,1.478687
14.08875,1.478039
14.12462,1.47725
14.15798,1.474119
14.1892,1.470145
14.22526,1.464264
14.26087,1.456447
14.29628,1.44805
14.32513,1.436872
14.36231,1.425313
14.39546,1.412577
14.42864,1.399508
14.46643,1.383926
14.50481,1.36594
14.53022,1.347232
14.56343,1.328283
14.60013,1.310562
14.63641,1.29649
14.6676,1.279797
14.70423,1.265762
14.74207,1.245659
14.77656,1.222054
14.81421,1.202441
14.84681,1.18353
14.88603,1.173027
14.91851,1.166322
14.95566,1.161729
14.99181,1.156718
15.02774,1.15378
15.06196,1.153262
15.0959,1.153189
15.1333,1.151575
15.16558,1.149952
15.19862,1.148404
15.23563,1.200851
15.26984,1.257976
15.30545,1.315606
15.34143,1.314461
15.37942,1.26085
15.41149,1.204568
15.45073,1.148415
15.49079,1.14995
15.52648,1.150187
15.56392,1.150621
15.60278,1.150907
15.63979,1.151085
15.67235,1.151291
15.71234,1.151024
15.74775,1.151004
15.78468,1.150951
15.82269,1.151153
15.85556,1.152673
15.89816,1.154624
15.92947,1.158321
15.96351,1.162686
16.00144,1.167072
16.03782,1.171866
16.0792,1.175699
16.11243,1.202343
16.14848,1.228107
16.18604,1.255101
16.22135,1.281023
16.25937,1.284783
16.29473,1.291336
16.32807,1.30012
16.36395,1.317255
16.39456,1.338677
16.43008,1.363353
16.46973,1.38843
16.50103,1.410055
16.53407,1.430211
16.56527,1.448526
16.60163,1.465508
16.63111,1.481987
16.67001,1.496991
16.69552,1.511039
16.7258,1.524621
16.75912,1.537043
16.79141,1.5489
16.82597,1.559849
16.85799,1.568618
16.89598,1.57618
16.93141,1.583591
16.9624,1.586575
16.99501,1.584433
17.02619,1.590779
17.06544,1.593952
17.10083,1.600386
17.13303,1.611339
17.16581,1.610467
17.19875,1.60942
17.23265,1.606225
17.26359,1.601218
17.30341,1.596063
17.33463,1.59177
17.36739,1.585768
17.39946,1.580869
17.43183,1.574924
17.46589,1.567366
17.50274,1.561526
17.53643,1.554064
17.56826,1.546415
17.60041,1.538575
17.63418,1.530115
17.66976,1.524492
17.70392,1.521111
17.73723,1.550429
17.76527,1.575081
17.80255,1.593057
17.83477,1.587605
17.86619,1.553518
17.8942,1.523807
17.93293,1.496564
17.96564,1.492346
17.99827,1.485614
18.03183,1.479945
18.06733,1.477422
18.09868,1.474949
18.13072,1.471339
18.16549,1.468403
18.19843,1.465118
18.23043,1.463373
18.26702,1.461596
18.2993,1.457661
18.33489,1.452359
18.36587,1.444474
18.40099,1.437107
18.43283,1.431607
18.4682,1.427598
18.5,1.42558
18.53201,1.424716
18.56718,1.423074
18.60141,1.421163
18.63199,1.418752
18.66506,1.416854
18.69833,1.416461
18.74112,1.416847
18.76039,1.417098
18.79517,1.416815
18.82638,1.416276
18.86209,1.414415
18.89906,1.413455
18.92785,1.412394
18.96461,1.411105
18.99188,1.412136
19.02887,1.413687
19.06634,1.415001
19.09498,1.416992
19.13222,1.418617
19.16409,1.419605
19.20087,1.421044
19.23401,1.423136
19.26575,1.42549
19.29973,1.428864
19.33069,1.432714
19.36525,1.437037
19.40137,1.440997
19.4294,1.444528
19.46621,1.447768
19.49885,1.449449
19.53439,1.451262
19.56777,1.452835
19.60051,1.454361
19.63378,1.45638
19.6654,1.457937
19.69747,1.46006
19.73384,1.462877
19.76135,1.466209
19.79255,1.469234
19.82531,1.472094
19.86273,1.47678
19.90002,1.479769
19.93526,1.483023
19.96845,1.486809
20.00019,1.487877
20.03476,1.489809
20.07142,1.491928
20.10197,1.492274
20.13416,1.493439
20.16954,1.495146
20.19666,1.497509
20.233,1.500638
20.26977,1.503583
20.30245,1.505565
20.33454,1.507396
20.367,1.508745
20.40422,1.509579
20.43289,1.511085
20.46975,1.511341
20.50203,1.513269
20.53446,1.516356
20.56793,1.519001
20.60231,1.520906
20.63417,1.521192
20.67096,1.516932
20.70271,1.511654
20.73504,1.5071
20.76754,1.502892
20.80153,1.501205
20.83519,1.500464
20.87832,1.500242
20.90559,1.498998
20.93461,1.498663
20.9689,1.482468
21.0055,1.4655
21.03444,1.465659
21.06681,1.465445
21.10352,1.481121
21.13561,1.496811
21.16684,1.496151
21.20257,1.49397
21.23428,1.491771
21.27051,1.489948
21.30342,1.488123
21.33944,1.487986
21.37534,1.487871
21.40666,1.48771
21.43823,1.4857
21.4778,1.483711
21.50982,1.482243
21.54298,1.482046
21.57918,1.483607
21.61122,1.485194
21.6451,1.487013
21.67835,1.488128
21.71781,1.491098
21.74867,1.494008
21.78358,1.480247
21.81466,1.476456
21.84554,1.473734
21.87815,1.471469
21.91063,1.484631
21.94374,1.487085
21.98317,1.486697
22.01393,1.486029
22.05076,1.485029
22.07977,1.484502
22.11655,1.484025
22.14651,1.483575
22.18431,1.48415
22.21559,1.48471
22.25128,1.485426
22.28345,1.485886
22.31911,1.485919
22.352,1.485874
22.38784,1.485706
22.42125,1.48601
22.45245,1.486662
22.49174,1.4874
22.52316,1.488102
22.55988,1.48849
22.59148,1.488545
22.62365,1.488473
22.65607,1.488111
22.69102,1.487824
22.72743,1.48791
22.7602,1.487543
22.79361,1.487327
22.82673,1.487211
22.863,1.486944
22.9052,1.486751
22.92875,1.486298
22.9592,1.485276
22.99756,1.484244
23.0292,1.483592
23.06507,1.483302
23.09721,1.48319
23.13076,1.482827
23.1622,1.482572
23.19677,1.482274
23.22911,1.482165
23.26004,1.483523
23.29649,1.484237
23.33195,1.486002
23.3658,1.488164
23.40193,1.48944
23.43512,1.487728
23.46714,1.489486
23.50297,1.480196
23.53825,1.477699
23.56954,1.485616
23.60176,1.485766
23.63859,1.497857
23.67419,1.505029
23.70642,1.502089
23.73864,1.501154
23.76963,1.492635
23.8035,1.481253
23.83579,1.467875
23.87217,1.460973
23.90419,1.459757
23.93192,1.45775
23.96688,1.461256
23.99823,1.459097
24.03392,1.456899
24.06973,1.455678
24.10116,1.453926
24.13287,1.452843
24.16474,1.452224
24.19723,1.451787
24.23751,1.451225
24.2689,1.450116
24.30637,1.449393
24.34076,1.449121
24.3736,1.4493
24.40622,1.450509
24.43934,1.451945
24.46807,1.453472
24.50415,1.455806
24.53293,1.457743
24.5687,1.459674
24.60263,1.461246
24.63412,1.463231
24.66947,1.465469
24.70038,1.467279
24.73636,1.46955
24.76955,1.470667
24.80172,1.472476
24.83453,1.476332
24.87064,1.479583
24.90259,1.483754
24.93627,1.487448
24.9682,1.489635
25.00316,1.493157
25.03204,1.496237
25.0636,1.498945
25.09865,1.501985
25.1307,1.503944
25.16734,1.505168
25.20167,1.505679
25.23398,1.504988
25.2657,1.504359
25.29856,1.50411
25.33288,1.503988
25.36786,1.50411
25.40072,1.50236
25.43556,1.500273
25.46859,1.497611
25.50468,1.494143
25.53716,1.491977
25.56549,1.490195
25.60216,1.486436
25.63551,1.483187
25.66616,1.479339
25.70253,1.475138
25.73324,1.472623
25.76621,1.470043
25.79729,1.467913
25.835,1.465225
25.86853,1.462402
25.90062,1.459589
25.92925,1.457418
25.97086,1.456179
25.99879,1.455154
26.03172,1.453402
26.0675,1.451014
26.09846,1.447696
26.13473,1.444865
26.16717,1.443148
26.19897,1.441809
26.23623,1.441404
26.27304,1.442529
26.30436,1.443921
26.3388,1.446594
26.3714,1.44809
26.40499,1.448626
26.44078,1.448671
26.47281,1.447186
26.50132,1.445935
26.53538,1.444301
26.56842,1.442667
26.60155,1.441706
26.63884,1.440849
26.67053,1.43888
26.70282,1.437012
26.73958,1.434912
26.77053,1.433848
26.80294,1.433148
26.83796,1.432492
26.8699,1.431834
26.90276,1.430726
26.93803,1.430432
26.96973,1.42875
27.00594,1.427928
27.03784,1.426593
27.07455,1.425791
27.10723,1.426444
27.13956,1.426181
27.17285,1.426364
27.20987,1.425748
27.24664,1.425943
27.27481,1.427395
27.30722,1.42924
27.34382,1.432435
27.3769,1.434869
27.40984,1.43632
27.44145,1.436968
27.47589,1.437262
27.5101,1.437389
27.54266,1.437291
27.57475,1.438183
27.60561,1.438668
27.64164,1.438953
27.68248,1.439351
27.71321,1.439536
27.74553,1.439077
27.7786,1.438863
27.81498,1.437731
27.85161,1.436201
27.88772,1.434337
27.92303,1.432145
27.95574,1.430434
27.99127,1.428442
28.02349,1.427072
28.05737,1.425929
28.09699,1.425017
28.13317,1.424172
28.1666,1.423645
28.20274,1.423277
28.2343,1.423102
28.27094,1.423249
28.30219,1.423635
28.33631,1.423617
28.37381,1.423155
28.40851,1.422593
28.44334,1.421749
28.47598,1.421115
28.50702,1.420923
28.54278,1.421502
28.57542,1.422049
28.60766,1.422109
28.6448,1.422124
28.68133,1.422079
28.7176,1.422085
28.75395,1.421911
28.78699,1.422013
28.82379,1.422256
28.85563,1.422793
28.89225,1.424081
28.92945,1.425645
28.96253,1.426702
28.9934,1.4282
29.02974,1.429939
29.06944,1.431702
29.1011,1.432987
29.13561,1.433298
29.1678,1.433609
29.2042,1.433574
29.2398,1.433657
29.2711,1.435151
29.30401,1.436465
29.33537,1.437709
29.37317,1.439912
29.41226,1.440871
29.43576,1.441288
29.46571,1.441085
29.50081,1.438725
29.53559,1.436272
29.56742,1.43417
29.59895,1.431947
29.63302,1.430885
29.67083,1.429374
29.70653,1.427926
29.73889,1.426929
29.77405,1.425594
29.80593,1.424529
29.83832,1.423428
29.87433,1.422511
29.90652,1.422001
29.94256,1.421246
29.97475,1.421655
30.01119,1.421814
30.0442,1.422081
